,应用领域,服务行业
PLC,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 制药机械 木工机械 造纸机械 通用机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 造纸 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 安防 制药 农林牧渔
PLC 小型PLC,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 制药机械 木工机械 造纸机械 通用机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 环保 建筑楼宇 安防 制药
PLC 小型PLC CPU模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 制药机械 木工机械 造纸机械 通用机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 环保 建筑楼宇 安防 制药
PLC 小型PLC I/O扩展单元,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 木工机械 造纸机械 通用机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 环保 建筑楼宇 安防 制药
PLC 小型PLC I/O扩展单元 数字(离散)量输入模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 橡胶机械 塑料机械 烟草机械 暖通空调 物流仓储设备 通用机械,电力 新能源 石化 化工 冶金 汽车制造 矿业 市政 交通运输 建筑楼宇 安防
PLC 小型PLC I/O扩展单元 数字(离散)量输出模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 通用机械,电力 新能源 石化 化工 冶金 汽车制造 矿业 市政 交通运输 环保 建筑楼宇 安防
PLC 小型PLC I/O扩展单元 数字(离散)量输入/输出模块,机床工具 纺织机械 包装机械 风电设备 起重机械 工程机械 电梯 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 木工机械,电力 新能源 石化 化工 冶金 汽车制造 建材 矿业 市政 交通运输 环保 建筑楼宇 安防
PLC 小型PLC I/O扩展单元 模拟量输入模块,机床工具 纺织机械 包装机械 食品机械 风电设备 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 物流仓储设备,电力 新能源 石化 化工 冶金 汽车制造 建材 矿业 市政 交通运输 环保 建筑楼宇 安防
PLC 小型PLC I/O扩展单元 模拟量输出模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 造纸机械,电力 新能源 石化 冶金 汽车制造 建材 矿业 食品饮料 环保 建筑楼宇 安防 制药
PLC 小型PLC I/O扩展单元 模拟量输入/输出模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 木工机械 造纸机械 通用机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 环保 建筑楼宇 安防 制药
PLC 小型PLC 温度测量扩展模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 建筑楼宇 安防 制药
PLC 小型PLC 温度测量扩展模块 热电偶扩展模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 建筑楼宇 安防 制药
PLC 小型PLC 温度测量扩展模块 热电阻扩展模块,机床工具 纺织机械 包装机械 风电设备 起重机械 工程机械 电梯 橡胶机械 塑料机械 印刷机械 烟草机械 物流仓储设备,电力 新能源 石化 冶金 汽车制造 建材 矿业 市政 交通运输 建筑楼宇 安防
PLC 小型PLC 通讯模块,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 通用机械 OEM-其他,电力 新能源 石化 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 环保 建筑楼宇 安防 制药
PLC 小型PLC 功能模块,机床工具 纺织机械 包装机械 食品机械 塑料机械,
PLC 小型PLC 功能模块 称重模块,,
PLC 小型PLC 功能模块 脉冲输出/定位模块,,
PLC 小型PLC 附件,纺织机械 包装机械 风电设备 橡胶机械 塑料机械 印刷机械 木工机械,电力 新能源 石化 冶金 汽车制造 建材 矿业
PLC 小型PLC 附件 编程电缆,,电力 汽车制造 建材 建筑楼宇 安防
PLC 小型PLC 附件 编程软件,,电力 石化 冶金
PLC 小型PLC 附件 存储器卡,,
PLC 小型PLC 附件 电池,,
PLC 小型PLC 附件 端子连接块,,
PLC 小型PLC 附件 端子排,,
PLC 小型PLC 附件 其它,纺织机械 包装机械 橡胶机械,
PLC 小型PLC 电源模块,,
PLC 中型PLC,机床工具 通用机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 造纸 矿业 食品饮料 建筑楼宇 安防 制药
PLC 中型PLC CPU模块,机床工具 通用机械 OEM-其他,油气 石化 化工 冶金 汽车制造 建材 造纸 矿业 食品饮料 制药
PLC 中型PLC I/O模块,,冶金
PLC 中型PLC I/O模块 数字(离散)量输入模块,,冶金
PLC 中型PLC I/O模块 数字(离散)量输出模块,,冶金
PLC 中型PLC I/O模块 数字(离散)量输入输出模块,,冶金
PLC 中型PLC I/O模块 模拟量输入模块,,冶金
PLC 中型PLC I/O模块 模拟量输出模块,,冶金
PLC 中型PLC I/O模块 模拟量输入输出模块,,冶金
PLC 中型PLC I/O模块 热电偶输入,,冶金
PLC 中型PLC 功能模块,机床工具 通用机械,电力 新能源 石化 冶金 汽车制造 建材 造纸 矿业 建筑楼宇 安防
PLC 中型PLC 功能模块 称重模块,,
PLC 中型PLC 功能模块 电源模块,通用机械,
PLC 中型PLC 功能模块 定位模块,机床工具,
PLC 中型PLC 功能模块 高速计数模块,机床工具,
PLC 中型PLC 功能模块 通讯模块,机床工具,电力 新能源 石化 冶金 汽车制造 建材 造纸 矿业 建筑楼宇 安防
PLC 中型PLC 功能模块 运动控制模块,,
PLC 中型PLC 接口模块,,
PLC 中型PLC 附件,,
PLC 中型PLC 附件 连接电缆,,
PLC 大型PLC,,汽车制造 矿业 市政 环保
PLC 大型PLC CPU模块,,汽车制造 矿业 市政 环保
PLC 大型PLC I/O模块,,市政 环保
PLC 大型PLC I/O模块 数字(离散)量输入模块,,市政 环保
PLC 大型PLC I/O模块 模拟量输入模块,,
PLC 大型PLC I/O模块 模拟量输出模块,,
PLC 大型PLC I/O模块 模拟量输入输出模块,,市政 环保
PLC 大型PLC I/O模块 热电偶输入,,市政 环保
PLC 大型PLC 功能模块,,
PLC 大型PLC 功能模块 电源模块,,
PLC 大型PLC 功能模块 定位模块,,
PLC 大型PLC 功能模块 高速计数模块,,
PLC 大型PLC 功能模块 通讯模块,,
PLC 大型PLC 功能模块 运动控制模块,,
PLC 大型PLC 接口模块,,
PLC 其它,机床工具 通用机械,油气 石化 化工 汽车制造 矿业
DCS,,电力 油气 石化 化工 冶金 建材 环保
DCS CPU,,电力 建材
DCS 服务器,,电力 石化 化工
DCS 服务器 OPC服务器,,电力 石化 化工
DCS 软件,,电力 石化 化工 冶金 建材
DCS 工程师站,,电力 石化 化工
DCS 工程师站 计算机,,电力 石化 化工
DCS 工程师站 键盘,,电力 石化 化工
DCS 工程师站 显示器,,电力 石化 化工
DCS 工程师站 总线转换器,,电力 石化 化工
DCS 操作员站,,电力 石化 化工
DCS 操作员站 键盘,,电力 石化 化工
DCS 操作员站 显示器,,电力 石化 化工
DCS 操作员站 计算机,,电力 石化 化工
DCS I/O控制站,,电力 石化 化工
DCS I/O控制站 现场I/O站,,电力 石化 化工
DCS I/O控制站 远程I/O站,,电力 石化 化工
DCS I/O单元,,电力 石化 化工
DCS I/O单元 I/O卡,,电力 石化 化工
DCS I/O单元 I/O卡 脉冲量卡,,电力 石化 化工
DCS I/O单元 I/O卡 多点混合输入/输出卡,,电力 石化 化工
DCS I/O单元 I/O卡 开关量输出卡,,电力 石化 化工
DCS I/O单元 I/O卡 开关量输入卡,,电力 石化 化工
DCS I/O单元 I/O卡 模拟量输出卡,,电力 石化 化工
DCS I/O单元 I/O卡 模拟量输入卡,,电力 石化 化工
DCS I/O单元 I/O卡 温度输入卡,,电力 石化 化工
DCS I/O单元 I/O单元电源卡,,电力 石化 化工
DCS I/O单元 I/O卡件槽,,电力 石化 化工
RTU,风电设备 通用机械,电力 油气 市政 交通运输 环保 安防 水利
SCADA,风电设备 工程机械 通用机械,电力 油气 市政 交通运输 环保 建筑楼宇 安防 水利
SCADA SCADA主站系统,,市政 水利
SCADA HMI/SCADA软件,,油气
SCADA HMI/SCADA软件 组态软件,,油气
SCADA RTU,风电设备 通用机械,电力 油气 市政 交通运输 环保 安防 水利
SCADA 采集仪表,,电力 市政 交通运输 环保 安防 水利
SCADA 通讯产品,,市政 水利
SCADA 通讯产品 MODEM,,市政 水利
SCADA 分布式I/O,,电力 油气 交通运输 安防 水利
SCADA 分布式I/O 模拟量输出,,电力 安防
SCADA 分布式I/O 模拟量输入,,交通运输 安防
SCADA 分布式I/O 数字量输出,,电力
SCADA 分布式I/O 数字量输入,,电力 油气 安防 水利
SCADA 其它,,电力 油气 市政 环保 安防 水利
工控机,纺织机械 起重机械 工程机械 橡胶机械 塑料机械 印刷机械 烟草机械 物流仓储设备 通用机械 OEM-其他,电力 油气 石化 化工 冶金 汽车制造 电子产品制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 安防 制药 水利 农林牧渔
工控机 工控机整机,纺织机械 起重机械 工程机械 橡胶机械 塑料机械 印刷机械 烟草机械 通用机械 OEM-其他,电力 油气 化工 冶金 汽车制造 电子产品制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 安防 水利
工控机 工控机整机 壁挂式工控机,纺织机械,汽车制造 轨道交通
工控机 工控机整机 嵌入式工控机,纺织机械 通用机械 OEM-其他,电力 油气 汽车制造 矿业 市政 轨道交通 交通运输
工控机 工控机整机 上架式工控机,纺织机械 通用机械 OEM-其他,电力 汽车制造 市政 轨道交通 交通运输 建筑楼宇 安防
工控机 工控机整机 工作站,,电子产品制造
工控机 工控机整机 平板电脑（PPC）,纺织机械 起重机械 工程机械 橡胶机械 塑料机械 印刷机械 烟草机械 通用机械 OEM-其他,电力 油气 化工 冶金 汽车制造 电子产品制造 建材 矿业 食品饮料 轨道交通 交通运输 环保 建筑楼宇 安防 水利
工控机 工控机整机 便携式工业PC,通用机械 OEM-其他,电力 油气 化工 汽车制造 矿业 交通运输 环保 建筑楼宇 安防
工控机 工控机整机 其它,,化工 矿业 轨道交通
工控机 PC-Based控制器,,电力 冶金 汽车制造 水利
工控机 专用机,纺织机械 起重机械 通用机械 OEM-其他,电力 油气 汽车制造 电子产品制造 建材 食品饮料 市政 轨道交通 建筑楼宇 安防
工控机 专用机 服务器,通用机械 OEM-其他,电力 油气 汽车制造 市政 轨道交通 建筑楼宇
工控机 专用机 专用工作站,,
工控机 专用机 虚拟仪器,纺织机械,油气 汽车制造 建材 食品饮料
工控机 专用机 其他,,安防
工控机 CompactPCI/PXI,工程机械,电子产品制造
工控机 CompactPCI/PXI I/O模块,工程机械,
工控机 CompactPCI/PXI 便携机,,
工控机 CompactPCI/PXI 整机,,
工控机 CompactPCI/PXI 运动控制卡,,
工控机 CompactPCI/PXI CPU模块,,
工控机 CompactPCI/PXI 电源模块,,电子产品制造
工控机 CompactPCI/PXI 背板,,电子产品制造
工控机 专用板卡,印刷机械 烟草机械 OEM-其他,电力 油气 冶金 汽车制造 电子产品制造 建材 矿业 轨道交通 建筑楼宇 安防
工控机 专用板卡 数据采集卡,烟草机械 OEM-其他,电力 油气 冶金 汽车制造 电子产品制造 建材 矿业 轨道交通 建筑楼宇 安防
工控机 专用板卡 运动控制卡,,电子产品制造
工控机 专用板卡 其它,印刷机械,冶金 建材 轨道交通 建筑楼宇 安防
工控机 外围产品,通用机械,化工 市政
工控机 外围产品 分布式I/O系统,,
工控机 外围产品 I/O模件,,
工控机 外围产品 I/O模件 工业I/O,,
工控机 外围产品 I/O模件 分布式I/O,,
工控机 外围产品 信号调理,通用机械,
工控机 外围产品 通讯产品,,电力 化工 市政
工控机 外围产品 数据采集模块,,
工控机 外围产品 其它,,
工控机 工控机配件,纺织机械 起重机械 通用机械 OEM-其他,电力 化工 冶金 汽车制造 电子产品制造 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 安防
工控机 工控机配件 机箱,OEM-其他,电子产品制造
工控机 工控机配件 CPU卡,,轨道交通 交通运输
工控机 工控机配件 工业母板,,矿业 食品饮料 轨道交通 安防
工控机 工控机配件 存储产品,,汽车制造 电子产品制造 矿业 轨道交通 交通运输 安防
工控机 工控机配件 显示产品,,安防
工控机 工控机配件 LED显示器,,安防
工控机 工控机配件 计算机电源,,
工控机 工控机配件 其它,,
嵌入式系统,纺织机械 起重机械 工程机械 电子制造设备 物流仓储设备 医疗器械 通用机械 OEM-其他,电力 油气 化工 冶金 汽车制造 建材 市政 轨道交通 交通运输 建筑楼宇 安防 制药 水利
嵌入式系统 嵌入式控制器,通用机械 OEM-其他,电力 油气 汽车制造 交通运输 安防
嵌入式系统 单板电脑,医疗器械 通用机械,电力 轨道交通 交通运输 水利
嵌入式系统 嵌入式主板,电子制造设备 医疗器械 OEM-其他,电力 市政 轨道交通
嵌入式系统 嵌入式主板 3.5寸,OEM-其他,
嵌入式系统 嵌入式主板 PC/104,,
嵌入式系统 嵌入式主板 pos/aimb,,
嵌入式系统 嵌入式主板 Slot-pc,,
嵌入式系统 嵌入式主板 SOM,,
嵌入式系统 嵌入式主板 COM-Express,,
嵌入式系统 嵌入式主板 EBX/5.25寸,,
嵌入式系统 嵌入式处理器,,汽车制造 建筑楼宇
嵌入式系统 嵌入式处理器 嵌入式片上系统(SOC),,
嵌入式系统 嵌入式处理器 嵌入式微控制器(MCU),,汽车制造 建筑楼宇
嵌入式系统 嵌入式软件,,
嵌入式系统 嵌入式软件 嵌入式组态软件,,
嵌入式系统 嵌入式软件 嵌入式操作系统,,
嵌入式系统 其它,,
嵌入式系统 其它 存储产品,,
嵌入式系统 其它 嵌入式机箱,,
嵌入式系统 其它 其他,,
嵌入式系统 移动数据终端,,
人机界面,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 制药机械 木工机械 通用机械 OEM-其他,电力 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 安防 制药 水利
人机界面 触摸屏,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 制药机械 木工机械 通用机械 OEM-其他,电力 油气 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 安防 制药 水利
人机界面 图控一体化产品,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 制药机械 木工机械 通用机械 OEM-其他,电力 油气 化工 汽车制造 矿业 食品饮料 市政 轨道交通
人机界面 平板电脑,机床工具 风电设备 工程机械 橡胶机械 制药机械 通用机械,电力 油气 化工 汽车制造 建材 矿业 食品饮料 轨道交通 交通运输 环保 建筑楼宇 安防 制药 水利
人机界面 文本终端,机床工具 包装机械 工程机械 电梯 印刷机械 烟草机械 物流仓储设备 通用机械 OEM-其他,油气 化工 冶金 汽车制造
人机界面 HMI软件,机床工具 纺织机械 包装机械 食品机械 印刷机械 通用机械 OEM-其他,化工 矿业 轨道交通
人机界面 其它,,
人机界面 其它 编程/通讯电缆,,
人机界面 其它 其它,,
工控软件,纺织机械 工程机械 橡胶机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 轨道交通 环保 建筑楼宇 安防 制药 水利
工控软件 HMI/SCADA,纺织机械 工程机械 橡胶机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 轨道交通 环保 建筑楼宇 安防
工控软件 编程软件,,石化 化工 矿业
工控软件 编程软件 IEC61131标准编程软件,,石化 化工 矿业
工控软件 实时/历史数据库,,油气
工控软件 OPC软件,,电力 油气 石化
工控软件 批量管理,,化工 冶金
工控软件 趋势、分析和报表,,
工控软件 工程设计软件,,
功能安全,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 物流仓储设备 制药机械 木工机械 医疗器械 通用机械,电力 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 安防
功能安全 设备安全,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 物流仓储设备 制药机械 木工机械 医疗器械 通用机械,电力 化工 冶金 汽车制造 建材 矿业 市政 交通运输 安防
功能安全 设备安全 安全控制产品,,电力 化工 冶金 汽车制造 建材 矿业 交通运输 安防
功能安全 设备安全 安全控制产品 安全PLC,,化工 冶金 汽车制造 建材 矿业
功能安全 设备安全 安全控制产品 安全模块,,电力 化工 冶金 汽车制造 交通运输 安防
功能安全 设备安全 安全检测与防护,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 物流仓储设备 制药机械 木工机械 医疗器械 通用机械,电力 化工 冶金 汽车制造 建材 矿业 市政 安防
功能安全 设备安全 安全检测与防护 安全开关,,电力 化工 冶金 建材 矿业
功能安全 设备安全 安全检测与防护 安全光幕,通用机械,电力 化工 冶金 汽车制造 建材 矿业 安防
功能安全 设备安全 安全检测与防护 安全传感器,,
功能安全 设备安全 安全检测与防护 安全继电器,通用机械,电力 化工 冶金 汽车制造 建材 矿业 安防
功能安全 设备安全 安全检测与防护 安全光栅,,
功能安全 设备安全 安全检测与防护 拉绳开关,,
功能安全 设备安全 安全检测与防护 安全光束,,
功能安全 设备安全 本安防爆,,化工 矿业
功能安全 设备安全 安全网络,,
功能安全 设备安全 安全地毯,,汽车制造
功能安全 设备安全 安全锁,,
功能安全 设备安全 防爆电脑,,
功能安全 过程安全,,电力 化工
功能安全 过程安全 ESD/SIS(紧急停车/安全仪表系统),,电力 化工
功能安全 过程安全 其它,,
功能安全 人员安全,,电力 矿业 交通运输
功能安全 其它,,电力 冶金 建材 矿业
功能安全 网络安全,,
机器视觉,机床工具 物流仓储设备 医疗器械,电力 化工 汽车制造 电子产品制造 造纸 食品饮料 交通运输 安防 制药
机器视觉 视觉系统,机床工具 医疗器械,电力 化工 汽车制造 电子产品制造 制药
机器视觉 CCD/CMOS照相机,机床工具 物流仓储设备 医疗器械,电力 汽车制造 电子产品制造 食品饮料 交通运输 安防 制药
机器视觉 视觉传感器,,汽车制造 电子产品制造 食品饮料 制药
机器视觉 图像处理单元,,
机器视觉 图像处理软件,机床工具,
机器视觉 监视器,,
机器视觉 条码识别,物流仓储设备,电力 汽车制造 电子产品制造 造纸 食品饮料 制药
离散传感器,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 制药机械 木工机械 医疗器械 通用机械 OEM-其他,电力 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 安防 制药 水利 农林牧渔
离散传感器 光电开关,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 制药机械 木工机械 医疗器械 通用机械 OEM-其他,电力 油气 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 建筑楼宇 安防 制药 水利
离散传感器 接近开关,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 物流仓储设备 制药机械 木工机械 医疗器械 通用机械 OEM-其他,电力 油气 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 建筑楼宇 安防 制药 水利
离散传感器 行程开关,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 物流仓储设备 制药机械 木工机械 医疗器械 OEM-其他,电力 油气 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 建筑楼宇 制药 水利
离散传感器 RFID,机床工具 纺织机械 包装机械 电子制造设备 物流仓储设备 通用机械,汽车制造 食品饮料
离散传感器 编码器,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 物流仓储设备 制药机械 木工机械 医疗器械 通用机械 OEM-其他,电力 油气 化工 冶金 汽车制造 矿业 食品饮料 轨道交通 交通运输 环保 建筑楼宇 安防 制药 水利
离散传感器 位移传感器,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 物流仓储设备 木工机械 医疗器械 通用机械 OEM-其他,电力 油气 化工 冶金 汽车制造 矿业 食品饮料 轨道交通 制药
离散传感器 速度传感器,纺织机械 起重机械 电子制造设备 物流仓储设备,电力 油气 汽车制造 食品饮料 安防
仪器仪表,机床工具 风电设备 塑料机械 印刷机械 烟草机械 暖通空调 通用机械 OEM-其他,电力 油气 石化 化工 冶金 汽车制造 建材 造纸 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 安防 制药 水利 农林牧渔
仪器仪表 现场仪表,风电设备 塑料机械 烟草机械 暖通空调 通用机械,电力 油气 石化 化工 冶金 汽车制造 建材 造纸 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 安防 制药 农林牧渔
仪器仪表 现场仪表 流量仪表,风电设备 塑料机械 烟草机械,电力 油气 石化 化工 冶金 汽车制造 建材 造纸 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 制药
仪器仪表 现场仪表 流量仪表 流量计,风电设备 塑料机械 烟草机械,电力 油气 石化 化工 冶金 汽车制造 建材 造纸 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 制药
仪器仪表 现场仪表 流量仪表 流量计 超声波流量计,,油气 化工 市政
仪器仪表 现场仪表 流量仪表 流量计 电磁流量计,,电力 油气 石化 化工 冶金 建材 造纸 食品饮料 市政 环保 制药
仪器仪表 现场仪表 流量仪表 流量计 孔板（差压式）流量计,,
仪器仪表 现场仪表 流量仪表 流量计 流量开关,,油气 石化 化工 冶金 矿业 食品饮料
仪器仪表 现场仪表 流量仪表 流量计 气体流量计,,
仪器仪表 现场仪表 流量仪表 流量计 涡街流量计,风电设备,电力 石化 化工 冶金 建材 造纸 矿业 食品饮料 制药
仪器仪表 现场仪表 流量仪表 流量计 质量流量计,风电设备 塑料机械 烟草机械,电力 油气 石化 冶金 汽车制造 建材 造纸 矿业 食品饮料 市政 轨道交通 交通运输 建筑楼宇 制药
仪器仪表 现场仪表 流量仪表 计量仪,,
仪器仪表 现场仪表 流量仪表 流量变送器,,交通运输
仪器仪表 现场仪表 流量仪表 流量传感器,,油气 石化 冶金
仪器仪表 现场仪表 流量仪表 水表,,市政 环保 建筑楼宇
仪器仪表 现场仪表 压力仪表,风电设备 塑料机械 烟草机械 暖通空调 通用机械,电力 油气 石化 化工 冶金 汽车制造 建材 造纸 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 安防 制药
仪器仪表 现场仪表 压力仪表 差压变送器,暖通空调 通用机械,电力 油气 石化 化工 冶金 建材 造纸 矿业 食品饮料 市政 环保 制药
仪器仪表 现场仪表 压力仪表 压力变送器,风电设备 暖通空调 通用机械,电力 油气 石化 化工 冶金 建材 造纸 矿业 食品饮料 市政 交通运输 建筑楼宇 安防 制药
仪器仪表 现场仪表 压力仪表 压力传感器,风电设备 塑料机械 暖通空调 通用机械,电力 油气 石化 化工 冶金 汽车制造 造纸
仪器仪表 现场仪表 压力仪表 压力开关,风电设备 塑料机械 烟草机械,电力 油气 石化 化工 冶金 汽车制造 造纸 矿业 市政 环保
仪器仪表 现场仪表 压力仪表 减压器,,
仪器仪表 现场仪表 压力仪表 压力表,,
仪器仪表 现场仪表 压力仪表 压力计,,
仪器仪表 现场仪表 温度仪表,风电设备 塑料机械 暖通空调 通用机械,电力 油气 石化 化工 冶金 汽车制造 建材 造纸 矿业 食品饮料 市政 轨道交通 交通运输 建筑楼宇 安防 制药
仪器仪表 现场仪表 温度仪表 热电偶,塑料机械,油气 石化 冶金 汽车制造
仪器仪表 现场仪表 温度仪表 热电阻,塑料机械,油气 石化 冶金 汽车制造 食品饮料 轨道交通 制药
仪器仪表 现场仪表 温度仪表 温度变送器,暖通空调 通用机械,电力 油气 石化 化工 冶金 食品饮料 市政 建筑楼宇 制药
仪器仪表 现场仪表 温度仪表 温度传感器,塑料机械 通用机械,电力 油气 石化 冶金 食品饮料 建筑楼宇 制药
仪器仪表 现场仪表 温度仪表 温度开关,塑料机械,轨道交通
