,应用领域,服务行业
仪器仪表 现场仪表 温度仪表 非接触式温度计,,
仪器仪表 现场仪表 温度仪表 双金属温度计,,
仪器仪表 现场仪表 物位/液位仪表,风电设备 塑料机械 暖通空调 通用机械,电力 油气 石化 化工 冶金 汽车制造 建材 造纸 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 安防 制药
仪器仪表 现场仪表 物位/液位仪表 液位计,通用机械,电力 油气 石化 化工 冶金 建材 矿业 食品饮料 市政 环保 安防 制药
仪器仪表 现场仪表 物位/液位仪表 液位计 超声波,,
仪器仪表 现场仪表 物位/液位仪表 液位计 电容式,通用机械,油气 石化 化工
仪器仪表 现场仪表 物位/液位仪表 液位计 浮球液位计,,
仪器仪表 现场仪表 物位/液位仪表 液位计 雷达,,环保
仪器仪表 现场仪表 物位/液位仪表 液位计 液位开关,,电力 油气 石化 化工 冶金 建材 食品饮料 制药
仪器仪表 现场仪表 物位/液位仪表 液位计 音叉,,食品饮料
仪器仪表 现场仪表 物位/液位仪表 液位计 磁浮子液位计,,
仪器仪表 现场仪表 物位/液位仪表 水位计,风电设备,电力 油气 石化 造纸 矿业 市政 轨道交通 交通运输 环保 建筑楼宇 安防
仪器仪表 现场仪表 物位/液位仪表 液位变送器,风电设备 塑料机械 暖通空调 通用机械,电力 油气 石化 化工 造纸 食品饮料 市政 交通运输 环保 建筑楼宇
仪器仪表 现场仪表 物位/液位仪表 液位控制器,,
仪器仪表 现场仪表 物位/液位仪表 物位计,通用机械,电力 市政 环保
仪器仪表 现场仪表 物位/液位仪表 物位计 超声波,通用机械,环保
仪器仪表 现场仪表 物位/液位仪表 物位计 电容式,,环保
仪器仪表 现场仪表 物位/液位仪表 物位计 雷达,,市政 环保
仪器仪表 现场仪表 物位/液位仪表 物位计 射频导纳,,
仪器仪表 现场仪表 物位/液位仪表 物位计 物位开关,,电力
仪器仪表 现场仪表 物位/液位仪表 物位计 音叉,,
仪器仪表 现场仪表 物位/液位仪表 物位计 重锤式,,
仪器仪表 现场仪表 称重/配料仪表,风电设备,油气 石化 化工 冶金 建材 矿业
仪器仪表 现场仪表 安全栅,,
仪器仪表 现场仪表 仪表结构装置,,
仪器仪表 显示控制仪表,机床工具 风电设备 印刷机械 烟草机械 通用机械 OEM-其他,电力 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 交通运输 制药 水利
仪器仪表 显示控制仪表 温控器,机床工具 风电设备 印刷机械 烟草机械 通用机械 OEM-其他,电力 油气 化工 冶金 汽车制造 建材 矿业
仪器仪表 显示控制仪表 巡检/调节仪表,机床工具 风电设备 印刷机械 烟草机械 通用机械,电力 油气 化工 冶金 汽车制造 建材 矿业 制药
仪器仪表 显示控制仪表 记录仪,机床工具 风电设备 印刷机械 通用机械 OEM-其他,电力 油气 化工 冶金 汽车制造 建材 矿业 食品饮料 制药 水利
仪器仪表 显示控制仪表 电量仪表,机床工具 风电设备 印刷机械 通用机械 OEM-其他,电力 油气 化工 冶金 建材 矿业 交通运输 制药 水利
仪器仪表 显示控制仪表 转速表,,油气 冶金
仪器仪表 显示控制仪表 数显仪表,机床工具 风电设备 印刷机械 通用机械 OEM-其他,电力 油气 化工 冶金 汽车制造 建材 矿业 制药 水利
仪器仪表 显示控制仪表 其它,风电设备 印刷机械 通用机械 OEM-其他,电力 油气 化工 冶金 建材 矿业 市政 交通运输
仪器仪表 分析测试仪表,OEM-其他,电力 化工 造纸 市政 交通运输 环保 建筑楼宇 制药
仪器仪表 分析测试仪表 水质分析,,电力 环保 制药
仪器仪表 分析测试仪表 气体检测/分析,OEM-其他,电力 化工 市政 环保 制药
仪器仪表 分析测试仪表 电工仪表,,电力 造纸 市政 交通运输
仪器仪表 分析测试仪表 过程校验仪表,,电力
仪器仪表 分析测试仪表 红外热像仪,,环保
仪器仪表 分析测试仪表 网络分析测试,,
仪器仪表 分析测试仪表 故障诊断,,
运动控制,机床工具 纺织机械 包装机械 食品机械 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 物流仓储设备 制药机械 木工机械 通用机械,化工 冶金 汽车制造 食品饮料 市政 安防
运动控制 伺服系统,机床工具 纺织机械 包装机械 食品机械 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 物流仓储设备 制药机械 木工机械 通用机械,化工 冶金 汽车制造 食品饮料 市政 安防
运动控制 伺服系统 伺服驱动器,机床工具 纺织机械 包装机械 食品机械 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 物流仓储设备 制药机械 木工机械 通用机械,化工 冶金 汽车制造 食品饮料 市政 安防
运动控制 伺服系统 伺服电机,机床工具 纺织机械 包装机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 通用机械,
运动控制 伺服系统 伺服电机 交流伺服电动机,机床工具 纺织机械 包装机械 电子制造设备 塑料机械 通用机械,
运动控制 伺服系统 伺服电机 永磁交流伺服电动机,机床工具 纺织机械 电梯 橡胶机械 塑料机械 印刷机械,
运动控制 伺服系统 伺服电机 直流伺服电机,,
运动控制 伺服系统 电机驱动一体机,通用机械,
运动控制 步进系统,机床工具 纺织机械 包装机械 食品机械 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 物流仓储设备 制药机械 木工机械 通用机械,化工 冶金 汽车制造 食品饮料 市政 安防
运动控制 步进系统 步进一体机,,
运动控制 步进系统 步进控制器,机床工具 纺织机械 包装机械 食品机械 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 物流仓储设备 制药机械 木工机械 通用机械,化工 冶金 汽车制造 食品饮料 市政 安防
运动控制 步进系统 步进电机,机床工具 纺织机械 包装机械 食品机械 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 物流仓储设备 制药机械 木工机械 通用机械,化工 冶金 汽车制造 食品饮料 市政 安防
运动控制 数控系统,机床工具,
运动控制 数控系统 通用数控系统,机床工具,
运动控制 数控系统 特种加工数控系统,,
运动控制 数控系统 特种加工数控系统 整机,,
运动控制 运动控制器,机床工具 纺织机械 包装机械 食品机械 电子制造设备 橡胶机械 塑料机械 印刷机械 物流仓储设备 制药机械 木工机械 通用机械,冶金 汽车制造 食品饮料 安防
运动控制 运动控制器 PC运动控制卡,机床工具 纺织机械 包装机械 食品机械 电子制造设备 印刷机械 制药机械 木工机械 通用机械,汽车制造 安防
运动控制 运动控制器 PLC运动控制模块,,
运动控制 运动控制器 一体化驱动器,机床工具 纺织机械 包装机械 电子制造设备 橡胶机械 塑料机械 印刷机械 物流仓储设备 通用机械,冶金 食品饮料
运动控制 运动控制总线,包装机械 电子制造设备 印刷机械,
运动控制 运动机械部件,机床工具 纺织机械 包装机械 电子制造设备,
运动控制 其它,机床工具 包装机械 食品机械 电子制造设备 印刷机械 物流仓储设备 木工机械,
低压变频器,机床工具 纺织机械 起重机械 电梯 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 通用机械 OEM-其他,电力 油气 石化 化工 冶金 汽车制造 建材 造纸 矿业 市政 轨道交通 交通运输 环保 建筑楼宇
低压变频器 通用型变频器,机床工具 纺织机械 电梯 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 通用机械 OEM-其他,电力 油气 石化 化工 冶金 汽车制造 建材 造纸 矿业 市政 轨道交通 交通运输 环保 建筑楼宇
低压变频器 工程型变频器,纺织机械 印刷机械 通用机械 OEM-其他,电力 冶金 汽车制造 环保
低压变频器 行业专用变频器,机床工具 纺织机械 电梯 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 通用机械 OEM-其他,电力 油气 石化 冶金 汽车制造 建材 造纸 矿业 市政 轨道交通 交通运输 环保 建筑楼宇
低压变频器 行业专用变频器 卷绕拉丝行业专用变频器,纺织机械 塑料机械 通用机械,
低压变频器 行业专用变频器 电梯专用变频器,电梯 印刷机械,建筑楼宇
低压变频器 行业专用变频器 纺织行业专用变频器,纺织机械,
低压变频器 行业专用变频器 风机/水泵专用变频器,机床工具 纺织机械 通用机械 OEM-其他,
低压变频器 行业专用变频器 机床专用变频器,机床工具 纺织机械 印刷机械 暖通空调,
低压变频器 行业专用变频器 空压机专用变频器,机床工具 橡胶机械 塑料机械 暖通空调 通用机械,油气 石化 冶金 环保
低压变频器 行业专用变频器 起重机行业专用变频器,纺织机械,油气 石化 冶金 环保
中高压变频器,,电力 石化 化工 冶金 建材 矿业
中高压变频器 交-交变频器,,石化 化工 冶金 建材 矿业
中高压变频器 单元串联多电平,,
中高压变频器 电压源型,,
中高压变频器 高压变频器配件,,
中高压变频器 高压变频器配件 其它,,
机械传动,机床工具 纺织机械 通用机械,化工 冶金 汽车制造 矿业 制药
机械传动 减速机,纺织机械 通用机械,化工 冶金 汽车制造 矿业 制药
机械传动 制动器,,
机械传动 离合器,,
机械传动 连轴器,,
机械传动 无级变速机,,
机械传动 丝杠,机床工具,汽车制造
机械传动 滑轨,纺织机械,
执行机构,机床工具 起重机械 工程机械 电子制造设备 塑料机械 通用机械 OEM-其他,电力 石化 化工 冶金 汽车制造 建材 造纸 矿业 食品饮料 市政 交通运输 环保 建筑楼宇 制药
执行机构 调节阀,起重机械 工程机械 电子制造设备 塑料机械 OEM-其他,电力 石化 化工 冶金 汽车制造 建材 矿业 市政 交通运输 建筑楼宇 制药
执行机构 电磁阀,工程机械 电子制造设备 通用机械,电力 石化 化工 建材 市政 环保
执行机构 电动执行器,电子制造设备,
执行机构 阀门定位器,,电力 石化 化工 冶金 矿业 建筑楼宇
执行机构 液压产品,,
执行机构 气动产品,,
执行机构 水泵,,
电机,机床工具 包装机械 食品机械 风电设备 工程机械 电子制造设备 橡胶机械 塑料机械 烟草机械 物流仓储设备 制药机械 通用机械 OEM-其他,油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 轨道交通 建筑楼宇 制药 水利
电机 力矩电机,,
电机 软启动器,机床工具 包装机械,化工 冶金 建材 矿业 水利
电机 软启动器 低压软启动器,机床工具 包装机械,化工 冶金 建材 矿业 水利
电机 软启动器 高压软启动器,,
电机 交流电机,机床工具 食品机械 风电设备 工程机械 通用机械 OEM-其他,油气 冶金
电机 交流电机 同步电机,,
电机 交流电机 同步电机 高压电机,,
电机 交流电机 异步电机,工程机械 通用机械, 冶金
电机 交流电机 异步电机 低压电机,通用机械,
电机 交流电机 异步电机 高压电机,通用机械,冶金
电机 直流电机,电子制造设备 制药机械,轨道交通 建筑楼宇 制药
电机 伺服电机,机床工具 塑料机械 通用机械,
电机 步进电机,机床工具 橡胶机械 塑料机械 烟草机械 通用机械,油气 化工 冶金 汽车制造 矿业 食品饮料 制药
电机 变频电机,通用机械,
低压电器,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 制药机械 木工机械 医疗器械 通用机械 OEM-其他,电力 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 建筑楼宇 安防 制药 水利
低压电器 控制电器,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 制药机械 木工机械 医疗器械 通用机械 OEM-其他,电力 油气 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 建筑楼宇 安防 制药 水利
低压电器 控制电器 主令电器,机床工具 纺织机械 食品机械 起重机械 工程机械 电子制造设备 医疗器械,油气 化工 冶金 建材
低压电器 控制电器 主令电器 按钮开关,机床工具 纺织机械 食品机械 工程机械 电子制造设备,化工 冶金 建材
低压电器 控制电器 主令电器 按钮开关 按钮开关,机床工具 纺织机械 食品机械 工程机械 电子制造设备,化工 冶金 建材
低压电器 控制电器 主令电器 按钮开关 轻触开关,,
低压电器 控制电器 主令电器 按钮开关 选择开关,机床工具 纺织机械 工程机械,
低压电器 控制电器 主令电器 转换开关,,
低压电器 控制电器 主令电器 脚踏开关,,
低压电器 控制电器 主令电器 主令控制器,,
低压电器 控制电器 主令电器 凸轮开关,,
低压电器 控制电器 交流接触器,,
低压电器 控制电器 交流接触器 空气式接触器,,
低压电器 控制电器 交流接触器 附件,,
低压电器 控制电器 直流接触器,通用机械,轨道交通
低压电器 控制电器 继电器,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 制药机械 木工机械 医疗器械 通用机械 OEM-其他,电力 油气 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 建筑楼宇 安防 制药 水利
低压电器 控制电器 继电器 时间继电器,通用机械,化工 汽车制造 市政 建筑楼宇
低压电器 控制电器 继电器 中间继电器,机床工具 纺织机械 包装机械 食品机械 风电设备 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 物流仓储设备 制药机械 木工机械 医疗器械 通用机械,电力 油气 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 建筑楼宇 安防 制药 水利
低压电器 控制电器 继电器 电流继电器,,建筑楼宇
低压电器 控制电器 继电器 速度继电器,通用机械,化工 汽车制造 市政
低压电器 控制电器 继电器 温度继电器,通用机械,化工 汽车制造 市政
低压电器 控制电器 继电器 液位继电器,通用机械,化工 汽车制造 市政
低压电器 控制电器 继电器 固态继电器,机床工具 纺织机械 包装机械 食品机械 风电设备 起重机械 工程机械 电梯 电子制造设备 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 医疗器械 通用机械 OEM-其他,电力 化工 食品饮料 轨道交通 交通运输 建筑楼宇 安防 制药
低压电器 控制电器 驱动电器,,
低压电器 控制电器 驱动电器 电磁阀,,
低压电器 控制电器 启动器,,
低压电器 控制电器 启动器 手动启动器,,
低压电器 控制电器 其它,起重机械 工程机械 电子制造设备,油气 冶金 食品饮料
低压电器 保护电器,机床工具 纺织机械 风电设备 工程机械 电子制造设备 通用机械 OEM-其他,电力 油气 化工 冶金 建材 市政 安防
低压电器 保护电器 避雷器,,
低压电器 保护电器 熔断器,,
低压电器 保护电器 电机保护器,机床工具 OEM-其他,电力 油气 化工 冶金 建材
低压电器 保护电器 电涌保护器,,
低压电器 保护电器 其它,,
低压电器 保护电器 热继电器,工程机械 电子制造设备,
低压电器 配电电器,机床工具 纺织机械 包装机械 食品机械 工程机械 电子制造设备 制药机械 木工机械 通用机械,电力 冶金 建材 矿业 交通运输 建筑楼宇
低压电器 配电电器,面板开关/插座,
低压电器 配电电器 其它,,
低压电器 配电电器 断路器,机床工具 电子制造设备 制药机械 木工机械 通用机械,电力 冶金 建材 矿业 建筑楼宇
低压电器 配电电器 断路器 万能式（框架式）断路器,,
低压电器 配电电器 断路器 微型断路器,,
低压电器 配电电器 断路器 装置式（塑壳）断路器,通用机械,电力 冶金 矿业
低压电器 配电电器 断路器 装置式（塑壳）断路器 普通装置式塑壳断路器,通用机械,电力 冶金 矿业
低压电器 配电电器 断路器 其它附件,,
低压电器 配电电器 断路器 真空断路器,,
低压电器 配电电器 负荷开关,,
低压电器 配电电器 组合开关,,建筑楼宇
低压电器 配电电器 变压器,,
低压电器 配电电器 电抗器,,
低压电器 控制元件,机床工具 纺织机械 包装机械 食品机械 工程机械 电子制造设备 通用机械,电力 油气 化工 冶金
低压电器 控制元件 按钮盒,机床工具 纺织机械 工程机械,
低压电器 控制元件 计数器,油气 化工 冶金,
低压电器 控制元件 电位器,,
低压电器 控制元件 电流、电压传感器,包装机械 食品机械 工程机械,油气 化工 冶金
低压电器 控制元件 模拟信号转换器,,油气 冶金
低压电器 控制元件 可控硅,,
低压电器 控制元件 信号转换,,
低压电器 显示单元,机床工具 纺织机械 工程机械 电子制造设备,油气 冶金 交通运输
低压电器 显示单元 数码显示单元,,
低压电器 显示单元 指示灯,电子制造设备,油气 冶金 交通运输
低压电器 显示单元 报警装置,机床工具 纺织机械 工程机械 电子制造设备,
低压电器 显示单元 报警装置 声光报警器,,
低压电器 显示单元 报警装置 蜂鸣器,,
低压电器 显示单元 信号灯,,
低压电器 智能低压电器,,电力
低压电器 其它,机床工具,电力 化工 冶金 矿业
低压电器 其它 智能电动机控制器/装置,机床工具,电力 化工 冶金 矿业
工业电源,机床工具 纺织机械 包装机械 食品机械 风电设备 工程机械 电子制造设备 塑料机械 暖通空调 物流仓储设备 制药机械 木工机械 通用机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 建筑楼宇 安防 制药 水利
工业电源 开关电源,纺织机械 风电设备 工程机械 塑料机械 物流仓储设备 木工机械 通用机械 OEM-其他,电力 油气 化工 冶金 汽车制造 矿业 食品饮料 市政 轨道交通 交通运输 建筑楼宇 安防 制药 水利
工业电源 直流变换电源,风电设备 暖通空调 通用机械,电力 油气 冶金 汽车制造 矿业 轨道交通 交通运输 建筑楼宇
工业电源 交流稳压电源,,电力 汽车制造 建筑楼宇
工业电源 线性直流电源,,
工业电源 逆变电源,,电力 冶金 汽车制造 矿业
工业电源 UPS,纺织机械 塑料机械,电力 轨道交通
工业电源 USPS,,电力
机箱机柜,纺织机械 塑料机械 烟草机械 通用机械,电力 石化 化工 冶金 汽车制造 建材 矿业 市政 轨道交通 制药 水利
机箱机柜 控制柜,,化工 冶金 汽车制造 建材 矿业 水利
机箱机柜 变频柜,,
机箱机柜 配电箱/柜,,
机箱机柜 网络机柜,,
机箱机柜 仪表盘/箱,,
机箱机柜 高低压开关柜,,
机箱机柜 高低压开关柜 开关柜,,
机箱机柜 配电组件,,电力 轨道交通
工业交换机,,电力 油气 石化 化工 冶金 汽车制造 市政 轨道交通 建筑楼宇 水利
工业交换机 网管型交换机,,市政 轨道交通
工业交换机 非网管型交换机,,市政 轨道交通
工业交换机 机架式交换机,,轨道交通
工业交换机 IP67交换机,,轨道交通
工业交换机 行业专用交换机,,市政 轨道交通
工业交换机 其它,,轨道交通
工业以太网,纺织机械 电梯 橡胶机械 塑料机械 印刷机械 烟草机械 物流仓储设备 通用机械 OEM-其他,电力 新能源 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 安防 制药 水利 农林牧渔
工业以太网 以太网交换机,纺织机械 通用机械 OEM-其他,电力 新能源 油气 化工 冶金 汽车制造 建材 矿业 市政 轨道交通 交通运输 环保 建筑楼宇 安防 制药 水利
工业以太网 以太网交换机 附件,,
工业以太网 以太网交换机 整机,纺织机械 通用机械 OEM-其他,电力 油气 汽车制造 建材 矿业 交通运输 环保 建筑楼宇 安防 水利
工业以太网 ProfiNet,纺织机械 橡胶机械 塑料机械 印刷机械 烟草机械 通用机械,油气 化工 冶金 汽车制造 建材 矿业 食品饮料 轨道交通 环保 制药 水利
工业以太网 ProfiNet PLC网络模块,纺织机械 橡胶机械 塑料机械 印刷机械 烟草机械,油气 汽车制造 食品饮料 环保
工业以太网 ProfiNet 网关,纺织机械 塑料机械 烟草机械 通用机械,油气 化工 冶金 汽车制造 建材 矿业 轨道交通 环保 制药 水利
工业以太网 ProfiNet 以太网交换机,,油气 冶金 汽车制造
工业以太网 ProfiNet 其它,,
工业以太网 EtherNet/IP,,
工业以太网 EtherNet/IP 网关,,
工业以太网 EtherNet/IP 中继器,,
工业以太网 Modbus-TCP,,
工业以太网 Modbus-TCP 网关,,
工业以太网 EtherCAT,,
工业以太网 EtherCAT PLC网络模块,,
工业以太网 EtherCAT PC网卡,,
工业以太网 EtherCAT 光纤转换器,,
工业以太网 EtherCAT 集线器,,
工业以太网 EtherCAT 网关,,
工业以太网 EtherCAT 无线以太网设备,,
工业以太网 EtherCAT 以太网交换机,,
工业以太网 CC-Link-IE,,
工业以太网 Ethernet-I/O,通用机械,电力 新能源 化工 冶金 矿业 市政
物联网,,电力 油气 石化 化工 冶金 汽车制造 建材 食品饮料 市政 交通运输 建筑楼宇 水利
物联网 感知层,,市政 交通运输
物联网 感知层 RFID,,
物联网 感知层 位置检测,,市政 交通运输
物联网 感知层 速度传感器,,
物联网 感知层 振动传感器,,
物联网 感知层 视觉传感器,,
物联网 感知层 电量传感器,,交通运输
物联网 感知层 压力传感器,,市政 交通运输
物联网 网络层,,市政 交通运输
物联网 网络层 无线通信产品,,市政 交通运输
物联网 网络层 接入传输交换产品,,市政 交通运输
物联网 网络层 其它,,
物联网 应用层,,市政 交通运输
物联网 应用层 软件平台,,
物联网 应用层 嵌入式应用,,市政 交通运输
物联网 应用层 云服务,,
物联网 应用层 其它,,
物联网 其它,,
无线通信,工程机械 电梯 暖通空调 物流仓储设备 通用机械 OEM-其他,电力 油气 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 安防 农林牧渔
无线通信 无线数传电台/无线数据终端,工程机械 通用机械 OEM-其他,电力 油气 化工 建材 矿业 市政 交通运输 建筑楼宇 安防
无线通信 无线路由器/中继器,,
无线通信 无线网关/网卡,,电力 油气 汽车制造 矿业 交通运输 建筑楼宇 安防
无线通信 ZigBee,,
无线通信 WirelessHART,,
无线通信 RFID系统,,化工 矿业
无线通信 GSM/CDMA/4G,工程机械 电梯,电力 化工 汽车制造 矿业 市政 轨道交通 交通运输 建筑楼宇 安防
现场总线,纺织机械 工程机械 电梯 橡胶机械 塑料机械 印刷机械 烟草机械 暖通空调 物流仓储设备 通用机械 OEM-其他,电力 油气 石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 环保 建筑楼宇 安防 制药 水利
现场总线 FF,,
现场总线 FF 接口模块,,
现场总线 Profibus,纺织机械 工程机械 电梯 橡胶机械 塑料机械 印刷机械 暖通空调,电力 油气 石化 化工 冶金 汽车制造 建材 矿业 市政 轨道交通 交通运输 建筑楼宇 安防 水利
现场总线 Profibus PC接口卡,,
现场总线 Profibus 接口模块,,冶金 建材
现场总线 Profibus 功能站,,
现场总线 Profibus 网关,,电力
现场总线 Profibus 中继器,工程机械,电力 油气 石化 化工 冶金 汽车制造 建材 矿业 市政 轨道交通 交通运输 建筑楼宇 安防 水利
现场总线 Interbus,,
现场总线 Interbus 接口模块,,
现场总线 DeviceNet,,电力 油气 石化 冶金 矿业 市政 安防
现场总线 DeviceNet 中继器,,电力 冶金 矿业 市政 安防
现场总线 DeviceNet 总线电缆,,
现场总线 DeviceNet 网关,,
现场总线 ControlNet,,油气 石化 化工 冶金 建材 交通运输 水利
现场总线 ControlNet 中继器,,油气 石化 化工 冶金 建材 交通运输 水利
现场总线 Modbus,工程机械 通用机械 OEM-其他,电力 油气 石化 冶金 汽车制造 建材 矿业 市政 建筑楼宇 安防 水利
现场总线 Modbus 分布式I/O,,
现场总线 Modbus 中继器,工程机械,电力 石化 冶金 建材 矿业 市政 建筑楼宇 安防 水利
现场总线 Modbus 网关,,
现场总线 CC-link,,电力
现场总线 CC-link 分布式I/O,,
现场总线 CC-link 中继器,,电力
现场总线 CC-link 总线电缆,,
电气连接,纺织机械 橡胶机械 塑料机械 印刷机械 物流仓储设备 通用机械 OEM-其他,石化 化工 冶金 汽车制造 建材 矿业 食品饮料 市政 轨道交通 交通运输 建筑楼宇 安防 制药
电气连接 连接系统,纺织机械 橡胶机械 通用机械 OEM-其他,化工 冶金 汽车制造 建材 轨道交通 交通运输 建筑楼宇 安防
电气连接 工业连接器,纺织机械 橡胶机械 塑料机械 通用机械,化工 冶金 汽车制造 矿业 轨道交通 安防
电气连接 接线端子,纺织机械 塑料机械 印刷机械 通用机械 OEM-其他,化工 冶金 汽车制造 矿业 轨道交通 交通运输 建筑楼宇 安防
电气连接 接线端子头,,
电气连接 接线盒,纺织机械 塑料机械 通用机械,冶金 汽车制造 建材 建筑楼宇
电气连接 PCB连接器,通用机械,
电气连接 重载连接器,通用机械,
工业大数据,,
工业大数据 大数据服务器/大数据机,,
工业大数据 云数据服务,,
工业大数据 数据集成,,
工业大数据 大数据分析,,
工业大数据 商业智能,,
工业大数据 其它,,
工业云计算,,油气 化工
工业云计算 IaaS（基础设施级服务）,,
工业云计算 PaaS（平台级服务）,,
工业云计算 SaaS（软件级服务）,,
工业云计算 其它,,
互联网安全,,化工 冶金 汽车制造 市政
互联网安全 控制层专用防火墙,,
互联网安全 网闸,,
互联网安全 局域网防火墙,,
互联网安全 杀毒软件,,化工
互联网安全 安全管理型交换设备,,
互联网安全 安全审计,,
互联网安全 网络安全整机,,
工业机器人,,化工 冶金 汽车制造 电子产品制造 建材 食品饮料
工业机器人 六轴关节型机器人,,
工业机器人 平面关节（SCARA）型机器人,,
工业机器人 Delta机器人,,
工业机器人 关节型喷涂机器人,,
工业机器人 机加工机器人,,
工业机器人 精密及重载装配机器人,,
工业机器人 点焊机器人,,
增材制造设备,医疗器械,汽车制造
增材制造设备 金属增材制造装备,医疗器械,
增材制造设备 非金属增材制造装备,,
增材制造设备 生物及医疗个性化增材制造装备,,
增材制造设备 3D打印软件,,
增材制造设备 3D打印机附件,,
增材制造设备 3D打印材料,,
增材制造设备 其它,,
智能物流设备,包装机械 物流仓储设备,食品饮料 物流仓储
智能物流设备 轻型堆垛机,,物流仓储
智能物流设备 超高超重型堆垛机,,
智能物流设备 托盘输送机,物流仓储设备,
智能物流设备 智能分拣机,,
智能物流设备 自动导引车,包装机械 物流仓储设备,物流仓储
智能物流设备 智能多层穿梭车,,
智能物流设备 穿梭式货架,,
高端数控机床,机床工具 工程机械,冶金 汽车制造 军工
高端数控机床 车铣磨复合加工机床,机床工具,
高端数控机床 五轴加工中心,机床工具,
高端数控机床 数控加工中心,机床工具,
高端数控机床 螺旋内齿圈拉床,机床工具,
高端数控机床 数控蜗杆砂轮磨齿机,机床工具,
高端数控机床 蒙皮镜像铣数控装备,机床工具,
高端数控机床 其它,工程机械,
CAD/CAE,机床工具 风电设备 电子制造设备 交通运输工具 医疗器械,汽车制造
MES,,
MES 集成MES,,
MES 专用MES,,
MES 其它,,
PLM ,,
